Sentence,Category
"26,prime challenge transformation Cognitive TechCo anticipate Thai global economy face myriad risk challenge AIS relentless transform Digital Life Service Provider Cognitive techco ensure stakeholder notwithstanding economic volatility disruption AIS business operation service delivery poise address demand deliver exceptional service",Social
"27,experience customer effectively",None
"28,possible drive development key pillar Autonomous Network Intelligent Data Insight Customer Care deliver product service answer customer latent need",Social
"29,believe development core area raise customer experience AIS service new level consolidate core business empower propel growth digital activity Thailand gain competitive edge sustain growth year come",None
"30,maintain sustainability target dimension grow sustainably stakeholder AIS attach utmost importance conduct business alongside sustainable development",Social
"31,end Companys business operation intertwine sustainability goal concept thrive greener inclusive digital world create mutual growth mankind environment span dimension drive digital economy promote digital inclusion act climate",Social
"32,dimension sustainable development framework believe stimulate Thailand embark digital economy concern environment",Environmental
"33,strong determination collaboration unit AIS result Company having win multiple prestigious accolade include High Commended Sustainability Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Awards Stock Exchange Thailand company operate",Governance
"34,line sustainable development approach list Index consecutive year",Social
"35,international level AIS list djsi World Emerging Market Indices telecommunications industry category consecutive year Index Series year run",None
"36,coveted accolade bring great pride AIS true testament unwavering commitment escalate growth digital infrastructure foster readiness develop society Thailand sustainable digital economy",Social
"37,endeavor align evolve environmental social economic challenge pursuit goal grow robustly create value group stakeholder sustainable manner",Environmental
"38,AIS like extend sincere gratitude customer employee shareholder grow create sustainability develop infrastructure digital ecosystem Thailand",Social
"39,warm regard Mr Kan Trakulhoon Chairman Mr Chief Executive Officer Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Audit Risk Committee Report Audit Risk Committee Advanced Info Service Public Company Limited",Governance
"40,comprise independent director combine skill expertise",Governance
"41,member possess adequate qualification prescribe Charter Audit Risk Committee prepare accordance guidance regulation Stock Exchange Thailand Capital Market Supervisory Board",Governance
"42,Audit Risk Committee hold meeting review relevant matter",Governance
"43,member meeting attendance follow",Social
"44,Mr Krairit Euchukanonchai Chairman Audit Risk Committee attend meeting",Governance
"45,Mr Ablaza Jr",None
"46,Member Audit Risk Committee attend meeting",Governance
"47,Mr Member Audit Risk Committee attend meeting Mr Montri Khongkruephan Companys Head Internal Audit act Secretary Audit Risk Committee",Governance
"48,Audit Risk Committee carry duty independently scope specify Charter Audit Risk Committee summarize",Governance
"49,Financial Report Audit Risk Committee review quarterly annual separate consolidated financial statement Group include disclosure note shareholder Advanced Info Service Public Company limit financial statement",None
"50,Audit Risk Committee discuss significant matter external auditor Management receive statement external auditor Management ensure preparation Companys financial report include disclosure note annual financial statement conduct accordance financial reporting standard adequate disclosure information",Governance
"51,result Audit Risk Committee concur financial statement auditor review audit issue unqualified opinion",Governance
"52,addition Audit Risk Committee hold private meeting external auditor participation Management discuss independently external auditor obtain information independence perform duty recommendation internal control financial report",Governance
"53,year external auditor remark",Governance
"54,Connected Transactions Transactions conflict Companys Interests Audit Risk Committee review connected transaction transaction conflict Companys interest quarterly basis conclude transaction reasonable Companys good interest",Governance
"55,addition transaction disclose Stock Exchange Thailand accordance relevant regulation",None
"56,legality Audit Risk Committee review work Corporate Compliance Department Legal Department ensure Company place adequate control ensure operation comply applicable law regulation Securities Exchange Commission Stock Exchange Thailand National Broadcasting Telecommunications Commission Bank Thailand law applicable Companys business operation business obligation",Governance
"57,thirdparty agreement",None
"58,Audit Risk Committee continuously follow dispute ensure material information disclose note financial statement",None
"59,Internal Control System Internal Audit Audit Risk Committee review effectiveness adequacy internal control system internal audit report present",Governance
"60,Audit Risk Committee consistently consider monitor result pertain recommendation address internal audit external audit report acknowledge root cause provide suggestion management prevent potential loss",Governance
"61,Audit Risk Committee monitor review result ensure Management follow internal control system recommendation prevent recurrence deficiency assess Companys internal control system use Securities Exchange Commissions recommend evaluation form",Governance
"62,Audit Risk Committee review internal audit activity revisit Internal Audit Charter review approve annual audit plan hold private meeting Head Internal Audit participation management",Governance
"63,Audit Risk Committee engage independent external assessor conduct quality assurance review internal audit activity ensure internal audit activity perform objectivity Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement independence",Governance
"64,adequate resource achieve audit plan accordance Institute Internal Auditors International Standards Professional Practices Internal Auditing include ethic",Governance
"65,Audit Risk Committee conclude Company implement adequate internal control business operation",Governance
"66,significant deficiency cause material impact Companys financial report line external auditor opinion",None
"67,furthermore Companys internal audit carry appropriately effectively independently",Governance
"68,Review Oversight risk Management Audit Risk Committee hold meeting executive Risk Management Committee review appropriateness risk assessment risk control risk monitoring risk reporting",Governance
"69,Audit Risk Committee conclude Company appropriate risk management system facilitate efficient effective business operation",Governance
"70,Review Fraud Investigation Audit Risk Committee review oversee Companys adherence Fraud andor Misconduct Reporting Whistleblower Protection Policy",Governance
"71,meeting Companys Investigation Committee conduct review complaint investigation result accord Companys process include efficiency whistleblowing channel",Governance
"72,complaint noncompliance Companys Code Business Ethics work rule material loss",Governance
"73,complaint submit consideration establish preventive measure",Social
"74,nomination Appointment External Auditor annual Audit Fee Audit Risk Committee consideration nomination appointment external auditor annual audit fee base assessment qualification competency experience performance independence auditing appropriateness audit fee nonaudit service offer audit firm ensure independence",Governance
"75,careful consideration Audit Risk Committee propose Board Directors seek approval appoint external auditor KPMG Phoomchai Audit Company Limited external auditor year Shareholder Meeting",Governance
"76,duty Responsibilities Audit Risk Committee Audit Risk Committee undertake annual selfassessment individually group accordance Stock Exchange Thailands criterion",Governance
"77,result demonstrate Audit Risk Committee appropriately carry duty responsibility accordance Charter Audit Risk Committee",Governance
"78,Audit Risk Committee review revision Charter Audit Risk Committee annual basis account good practice compliance regulation prescribe Capital Market Supervisory Board",Governance
"79,conclusion Audit Risk Committee carry duty accord responsibility delegate Board Directors expertise professional care",Governance
"80,addition Audit Risk Committee demonstrate independence perform duty access pertinent information management employee associated party",Governance
"81,Audit Risk Committee provide opinion recommendation continuously improve governance risk management internal control system stakeholder interest",Governance
"82,behalf Audit Risk Committee Mr Krairit Euchukanonchai Chairman Audit Risk Committee Mr appoint Audit Risk Committee Board Directors replace Mr prematurely resign Board Directors Audit Risk Committee August",Governance
"83,appointment effective September",None
"84,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Nomination Compensation Committee Report Nomination Compensation Committee NCC consist member Chairman Ratanavadi Low member",Governance
"85,NCC meeting member attend",Social
"86,performance summary year describe follow",None
"87,compliance Corporate Governance Policy Review committee consider result corporate governance survey report analyze board performance assessment report order improve promote role responsibility board director good corporate governance",Governance
"88,addition committee consider concur restructuring executive committee support management achieve business objective propose board director approval",Governance
"89,policy Criteria Formulation Directors Nomination committee invite shareholder propose candidate nominate director st October st December consideration connection nomination director recommendation source",Governance
"90,committee consider approve amendment Board skill matrix cover new director replace resign director propose qualified candidate Board shareholder consideration",Governance
"91,Compensation Director committee consider concur director executive compensation scheme base study analysis benchmarke similarsize list company company industry attract retain highly qualified director executive company",Governance
"92,employee Compensation committee consider concur principle employee compensation benchmarke practice lead company size market andor industry capitalization",None
"93,leadership Development committee promote development executive capability company lead telecom business face rise competition disruptive technological evolvement rapid change consumer behavior",Social
"94,committee encourage executive employee learn study source inside outside organization view enhance managerial capability prepare human capital handle new challenge regular basis",Social
"95,executive Succession Plan committee determine executive succession plan strategy aspect comprehensively transparently order manage risk mitigation loss key position company consider succession plan propose Board Directors consideration Mr Chairman Nomination Compensation Committee Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company",Governance
"96,overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Sustainable Development Committee Report Sustainable Development Committee comprise member Chairman member",Governance
"97,Sustainable Development Committee meet time member present perform duty accord scope role responsibility prescribe charter",Governance
"98,material action carry committee follow Material matter impact sustainable business operation consider approve material matter impact business operation sevendimension Companys sustainability strategy",Social
"99,reprioritize align view stakeholder business plan key global change development",Social
"100,sustainable Development Policy Strategies Goals consider ad approve goal strategy sustainability operation",Social
"101,revise strategy theme create mutual growth human environment digital world encompas key area drive digital economy build digital access society sustain environment",Social
"102,goal revise accommodate change sustainability aspect business strategy address evolve opportunity challenge expectation stakeholder",Social
"103,consider approve action plan line sustainable business development strategy correspond new goal",Social
"104,plan cover aspect tackle climate change plan achieve zero emission greenhouse gas create value group people society plan promote expand use digital platform health care education upgrade develop quality life community society decency safety use internet social medium develop generation digital citizen utilize online content appropriately",Environmental
"105,consider approve revise environmental policy commitment protect biodiversity forest land provide framework AIS environmental performance cover value chain business",Environmental
"106,disclosure Sustainability Information Compliance International Standards Attainment Sustainability Awards acknowledge AIS sustainability performance Sustainability Report disclose sustainability information measure assess clearly compliance Global Reporting Initiative GRI Sustainability Accounting Standards Board SASB standard public",Social
"107,acknowledge information disclosure conformance Task Force Climaterelated Financial Disclosures TCFD provide guideline assessment climate change impact understanding opportunity risk allow formulation risk management guideline appropriate Companys context",Environmental
"108,acknowledge attainment sustainability award reflect Companys commitment operational excellence include idcs Future Enterprise Awards Special Award Sustainability category International Data Corporation IDC SET Awards s Sustainability Excellence highly commend category Stock Exchange Thailand Money Banking Magazine",Social
"109,Mr Chairman Sustainable Development Committee Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Executive Committee Report Executive Committee comprise highly experienced member Mr Chairman Ratanavadi Mr",Governance
"110,Mr Mr member",None
"111,Executive Committee hold total meeting perform duty accordance authority responsibility charter",Governance
"112,summary Executive Committees performance year substantially follow review concur Companys strategic direction management structure annual business plan budget propose Board Directors approval",Governance
"113,monitor financial operational performance Company report Board Directors acknowledgement",Governance
"114,consider provide opinion concur dividend payment execution investment transaction propose Board Directors approval",Governance
"115,prepare Executive Committee Report year disclose report",Governance
"116,Mr Chairman Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Business Overview course year provide telecommunication infrastructure Thai society start collaborative contract concessionaire AIS",Governance
"117,grant right utilize state frequency year builttransferoperate BTO agreement",Social
"118,National Broadcasting Telecommunications Commission NBTC government agency regulate broadcasting telecommunication establish task grant spectrum license",None
"119,licensing scheme major turning point telecommunications industry Thailand support fair competition development new technology",None
"120,AIS remain committed vision mostadmired Digital Life Service Provider Thailand follow mission deliver superior product service enrich people daily life improve enterprise capability efficiency",Social
"121,Enhance customer intimacy good customer experience",Social
"122,drive intrapreneurship employee professionalism pro mote positive lively agile work culture",Social
"123,Build winwin growth stakeholder",Social
"124,Mobile Business Enterprise Business Fixed Broadband Digital Service Digital Life Service Provider Business Performance Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AIS Transformation Digital Life Service Provider Cognitive TechCo deliver excellent digital experience",Governance
"125,core business Mobile Communication Service Fixed Broadband Service Enterprise Business service Digital Service G G G G technology brand AIS provide monthly subscription service topup service international roam network partner destination worldwide",None
"126,provide highspeed home internet utilize FTTx fiber optic brand AIS Fibre",None
"127,offer cloud service data center cyber security Internet Things iot ICT solution corporate client collaboration multiple partner",Social
"128,focus create valueadde digital service serve new revenue source medium long term anticipation change consumer behavior technology",Social
"129,ais total asset value Baht million market capitalization Baht million rank th Stock Exchange Thailand",None
"130,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement lead end AIS maintain position lead mobile operator Thailand revenue market share total million subscriber nationwide",None
"131,mobile communication service revenue account total service revenue",None
"132,AIS provide quality service G G G G network use frequency band ghz mhz total MHz x mhz FDD technology mhz TDD technology",None
"133,mhz license grant NBTC x mhz TOT partnership agreement",None
"134,ais mobile network currently cover countrys population",Social
"135,high spectrum holding peer AIS remain industry leader network quality service",Social
"136,furthermore AIS maintain position leader offer Gbased service Thailand",None
"137,follow official launch Company continue expand g network cover province reach Thailands population year end spectrum industry",Social
"138,AIS prime cope fastgrowe g market deliver variety gbased experience address customer demand general customer corporate client",Social
"139,currently AIS G customer base million",None
"140,grow Fixed Broadband Market Revenue Market Share Subscriber Market Share operator Subscriber Market Share fix broadband operator include true NT BB AIS start fix broadband business brand AIS Fibrein intent increase new revenue source build exist fiber network mobile business mobile customer base",None
"141,currently AIS Fibre available city cover million household",Environmental
"142,AIS Fibre penetrate market use strength provide FTTH technology connect household internet ready support exist adsl user wish upgrade high quality technology superior speed",None
"143,fix broadband revenue account total service revenue",None
"144,present total number subscriber million accounting fix broadband subscriber market share",None
"145,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Enhancing Potential Corporate Client Business Building enterprise datum service offer mobile communication service internet link corporate client AIS expand service support digital",Governance
"146,transformation small medium largesize business",Social
"147,endtoend service encompass cloud service data center cyber security Internet Things IoT ICT solution cciid",Social
"148,AIS acquire CS Lox Info Public Company Limited strengthen capability provide integrate service enterprise client",None
"149,revenue Corporate Client Business exclude mobile communication revenue account total service revenue",None
"150,distinctive feature G technology include high speed low latency multidevice supportive feature couple network capability partnership collaboration enable AIS use advanced technology support service industrial sector efficiently",None
"151,industry focus include smart industry solution manufacture focus case transportation logistic smart property retail",Social
"152,currently AIS offer variety genable service G Fixed Wireless Access G network slicing g private network",None
"153,build Core Businesses Digital Services digital service business involve development diverse range service incorporate digital technology encompass network platform digital solution deliver digital service customer corporate client collaboration development connected business environment partner grow",None
"154,AIS digital service focus area video platform mobile money platform digital marketing insurance",None
"155,digital service business expect play key role create new revenue source AIS future apart revenue data connection mobile internet fee",None
"156,enable AIS integrate service provider converge product service core business",None
"157,operate license regulate NBTC majority AIS business particularly mobile communication fix broadband business operate regulation National Broadcast Telecom Commission NBTC regulatory authority form accordance Frequency Allocation Act",None
"158,AIS subsidiary grant telecommunications business license include ghz mhz spectrum license average license life year",None
"159,end spectrum license NBTC redistribute spectrum license auction",None
"160,AIS mandate pay license fee Universal Service Obligation USO fee numbering fee NBTC service revenue year",None
"161,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Key Development Past Years sign MOU NCS Telco support digital transformation Thailand",Governance
"162,NCS support AIS digital transformation effort synergistic collaboration technology G iot Cloud Cyber Security complement AIS strength leader countrys digital infrastructure enhance Companys capability support organization Thailand materialize commitment digital transformation",Social
"163,enter strategic collaboration agreement ZTE build advanced g network AZ Center elevate Company intelligent telecommunication organization",Social
"164,objective raise quality deliver excellent service experience customer",Social
"165,agreement aim develop innovation Thailand forefront digital economy cooperation area develop G innovation infrastructure solution upgrade G network intelligent digital network big datum processing AI expand g capability elevate industrial sector",Social
"166,receive Microsoft Best Partner Year award present Microsoft worldclass partner successfully deliver classabove innovative service base Microsoft technology customer",Social
"167,award select partner country worldwide",Social
"168,purchase share startup Intouch enhance AIS business potential provide digital service customer",None
"169,help expand consolidated AIS core business line Companys business direction digital life service provider",None
"170,establish subsidiary AIS DC Venture CoLtd enter joint development agreement datum center business Gulf Energy Development Public Company GULF Singapore Telecommunications Limited Singtel pace growth accommodate need digital infrastructure Thailand",Social
"171,join hand incorporate expertise partner develop unmanned system logistic application intelligent g network private network operate electric engine truck transport raw material factory SCG industrial estate Saraburi accord route planning",Social
"172,align effort develop future industry use digital technology contribute environmental sustainability",Environmental
"173,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement partner Microsoft Thailand Limited develop provide cloud service key area",Governance
"174,drive digital solution promote use cloud service solution",None
"175,upgrade AIS employee digital skill equip indepth digital technology skill",Social
"176,develop innovation business use efficient solution appropriate type business",Social
"177,launch AIS CloudX intelligent cloud ecosystem allow business develop cloud infrastructure application solution require highspeed processing mission critical task demand low latency",Social
"178,Company team VMware Southeast Asias provider sovereign cloud service ensure maximum security standard reduce cost complexity system design",Social
"179,service enable business sector achieve digital transformation pursuit potential enhancement business agility cope unpredictable change arise",Social
"180,grant license MHz frequency band x mhz x MHz width NBTC January April respectively term year",None
"181,mhz standard frequency range lowband G mark coverage enable AIS expand g network cover wide area",None
"182,obtain license ghz frequency band MHz width February year team",None
"183,millimeterwave band meet capacity requirement G network allow high speed data transfer rate gigabit second Gbps vital application require highspeed stable datum rate low latency millisecond",None
"184,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement appoint official distributor streaming service gain wide acceptance Thailand Asia worldwide deliver classabove entertainment experience encompass diverse range content audience",Social
"185,age Thailand",Social
"186,won G auction spectrum include lowband MHz X mhz midband MHz MHz highband ghz mhz",None
"187,G NSA license service nonstandalone launch February nationwide MHz frequency band",None
"188,G SA standalone service dependent exist G network subsequently introduce July",None
"189,set LearnDi Company Limited LDI subsidiary AIS capital investment Baht provide training seminar service online elearne platform",Social
"190,establish Saha Advanced Network CoLtd SAN joint venture Saha Pathana InterHolding Public Company Limited stake value million baht",None
"191,joint venture design provide fiber optic network ICT infrastructure enhance operational efficiency business SPI Industrial Park span rais land",None
"192,g solution incorporate maximize operational efficiency",Environmental
"193,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Investment structure AIS group December Advanced Info Service Public Company Limited Mobile FBB Enterprise Business Digital Business ad Venture Public Co Ltd ADV Advanced Wireless Network CoLtd",None
"194,AWN Clearing House Number Portability CoLtd",Social
"195,CLH CS LoxInfo Public Co Ltd CSL Fax Lite CoLtd",None
"196,FXL Advanced Broadband Network CoLtd",None
"197,ABN Amata Network Co Ltd Information Highway CoLtd",None
"198,IH Saha Advance Network Co Ltd SAN Advanced Contact Center CoLtd",None
"199,ACC AIN GlobalComm CoLtd",Social
"200,AIN Super Broadband Network CoLtd",None
"201,SBN MIMO Tech CoLtd",Social
"202,MMT Digital Phone CoLtd",None
"203,DPC Clearing House Number Portability CoLtd",Social
"204,CLH Bridge Mobile Pte",None
"205,Ltd BMB Advanced Magic Card CoLtd",None
"206,AMC Choco Card Enterprise Co Ltd Datafarm Co Ltd Swift Dynamics Co Ltd Advanced mpay CoLtd",None
"207,AMP Advanced Digital Distribution CoLtd",None
"208,ADD LearnDi Company Limited LDI GSA Data Centre Company Limited AIS DC Venture Company Limited AIS Digital Life CoLtd",None
"209,ADL Rabbit Line Pay CoLtd RLP Advanced Data Network Communications CoLtd",None
"210,ADC Subsidiaries Subsidiaries Joint Venture Associated Company investment Remark remain share percentage ADC hold person conflict interest",None
"211,end ADC process liquidation iCandy Interactive Limited Teleinfo Media Public Co Ltd TMC Yellow Pages Commerce Co Ltd YPC Investment structure AIS Group Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Investment structure INTOUCH group",None
"212,major shareholder December Advanced Info Service Plc ad Venture Plc Advanced Wireless Network CoLtd",None
"213,Clearing House Number Portability Co Ltd CS LoxInfo Plc Fax Lite Co Ltd Advanced Broadband Network Co Ltd Amata Network Co Ltd Information Highway Co Ltd Saha Advance Network Co Ltd Advanced Contact Center Co Ltd AIS GlobalComm Co Ltd Super Broadband Network Co Ltd MIMO Tech Co Ltd Digital Phone Co Ltd Cleaing House Number Portability Co Ltd",None
"214,Bridge Mobile Pte",None
"215,Ltd Advanced Magic Card CoLtd",None
"216,Choco Card Enterprise Co Ltd Datafarm Co Ltd Swift Dynamics Co Ltd Advanced MPAY Co Ltd Advanced Digital Distribution CoLtd",None
"217,LearnDi Co Ltd GSA Data Centre Co Ltd AIS DC Venture Co Ltd AIS Digital Life Co Ltd rabbitline Pay Co Ltd Advanced Datanetwork Communications Co Ltd Remarks Listed Company Stock Exchange Thailand liquidation process currently operation INTUCH stake ITV cease operation ongoing dispute Permanent Secretary Office Prime Minister",None
"218,iCandy Interactive Limited Yellow Pages Commerce Co Ltd Teleinfo Media Plc Conicle Co Ltd Intouch Media Co Ltd Youch TV Co Ltd",None
"219,Applications Services Co Ltd Peer Power Co Ltd Ookbee Co Ltd Intouch Holdings Plc Subsidiaries Subsidiaries Joint Venture Associated Company investment Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement",Governance
"220,share hold shareholde",None
"221,INTOUCH HOLDINGS PLC",None
"222,singtel STRATEGIC investments PTE LTD",None
"223,THAI NVDR COLTD",Social
"224,CITIBANK NOMINEES SINGAPORE PTE LTDAC GIC C",None
"225,SOCIAL SECURITIES office",Social
"226,state STREET EUROPE LIMITED",None
"227,SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED",None
"228,STATE STREET BANK TRUST COMPANY",None
"229,BANK NEW YORK MELLON",None
"230,VAYU MFC Asset Management Public Company Limited TOTAL",None
"231,number share Percentage investment",None
"232,GULF ENERGY DEVELOPMENT PLC",None
"233,SINGTEL GLOBAL INVESTMENT PTE LTD",None
"234,THAI NVDR COMPANY LIMITED",None
"235,SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED",None
"236,SOCIAL SECURITY office",Social
"237,MR PERMSAK KENGMANA",Social
"238,state STREET EUROPE LIMITED",None
"239,KIATNAKIN PHATRA BANK PLC",None
"240,BANK AYUDHYA PLC",None
"241,RAMKHAMHAENG HOSPITAL PLC",Social
"242,register capital pay capital Registered Capital Baht divide common share share par Baht share pay Capital Baht divide common share share par Baht share voting right share Shareholders information Thai NVDR Co Ltd find SET website httpswwwsetorthenmarketproductstockquoteadvanc majorshareholder Thai NVDR Co Ltd holding",None
"243,NonVoting Depository Receipt NVDR ineligible vote shareholder meeting vote meeting specifically consider delist",Governance
"244,Securities Shareholders Information b major shareholder behavior influence determine policy handling operation",Governance
"245,Intouch Holdings Plc hold AIS",None
"246,major shareholder Intouch Holdings Plc",Social
"247,follow shareholder August late book closing date right receive dividend follow Remarks Gulf Energy Development Plc",None
"248,GULF hold company list Stock Exchange Thailand SET",None
"249,gulf major shareholder find Form Report year SET website wwwsetorth",None
"250,Singtel Global Investment Pte",None
"251,Ltd indirect subsidiary Singapore Telecommunications Ltd Temasek Holding PteLtd",None
"252,hold Source Singapore Telecommunication Ltds Annual Report",Social
"253,information Thai NVDR Co Ltd find SET website wwwsetorth",None
"254,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement shareholde c agreement major shareholder Company concern topic affect issuance security management Companys operation",Governance
"256,singtel Strategic Investments Pte Ltd hold directly AIS",None
"257,shareholder hold Singapore Telecommunication Limited Source Accounting Corporate Regulatory Authority ARCA Singapore December Relationship major shareholder major shareholder AIS Intouch Holdings Plc",Governance
"258,",None
"259,Ltd Intouch Holdings Plc",None
"260,operate business invest telecommunication medium technology digital business act hold company",Social
"261,singtel Strategic Investments Pte",None
"262,Ltdis global telecommunications investor",None
"263,major shareholder maintain respective role set policy direction AIS Board Directors",Governance
"264,singtel longstanding experience telecommunication active market especially Asia help broaden AIS perspective stay abreast key industry movement globally",Social
"265,business Singtel present opportunity mutual support AIS particularly digital service consumer corporate client collaboration develop solution enterprise ecosystem platform G IoT",Social
"266,service require cooperation regional level allow mutual strengthening expansion customer basis business development",Social
"267,Intouch Holdings Plc",None
"268,hold company focus investment help support AIS sustainable growth",Social
"269,include seek new investment opportunity AIS invest appropriate",None
"270,addition GULF Energy Development Pcl major shareholder Intouch Holdings hold experience expertise energy infrastructure business enhance business collaboration opportunity AIS Gulf digital age advantage energy infrastructure",Environmental
"271,business include Data Center Business collaborate expertise knowhow experience energy management ais telecommunication strength",Social
"272,Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Historical Dividend Total Dividend Payment Baht share Dividend firsthalfyear operation Dividend secondhalfyear operation",None
"273,earning share Dividend Payout Ratio Debenture December Company subsidiary total outstanding debenture Advanced Info Service Public Company Limited Advanced Wireless Network Limited Company",None
"274,debenture trade Thai Bond Market Association term year",None
"275,debenture fix annual interest rate range outstanding million baht",None
"276,debenture receive credit rating AAtha Fitch Ratings indicate high quality investment high credit quality low credit risk",None
"277,refer note financial statement",None
"278,Bill Exchange outstanding bill exchange December Dividend Policy Company aim pay dividend consolidated net profit twice year",None
"279,shall pay interim result operation half year approve Board Directors report general meeting shareholder remain thereof annual payment shall approve shareholder meeting result operation second half year",Governance
"280,regard subsidiary dividend payment shall base operating result financial condition material factor",None
