Sentence,Category
addition Audit Risk Committee demonstrate independence perform duty access pertinent information management employee associated party,Governance
Audit Risk Committee provide opinion recommendation continuously improve governance risk management internal control system stakeholder interest,Governance
behalf Audit Risk Committee Mr Krairit Euchukanonchai Chairman Audit Risk Committee Mr appoint Audit Risk Committee Board Directors replace Mr prematurely resign Board Directors Audit Risk Committee August,Governance
appointment effective September,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Nomination Compensation Committee Report Nomination Compensation Committee NCC consist member Chairman Ratanavadi Low member,Governance
NCC meeting member attend,Social
performance summary year describe follow,None
compliance Corporate Governance Policy Review committee consider result corporate governance survey report analyze board performance assessment report order improve promote role responsibility board director good corporate governance,Governance
addition committee consider concur restructuring executive committee support management achieve business objective propose board director approval,Governance
policy Criteria Formulation Directors Nomination committee invite shareholder propose candidate nominate director st October st December consideration connection nomination director recommendation source,Governance
committee consider approve amendment Board skill matrix cover new director replace resign director propose qualified candidate Board shareholder consideration,Governance
Compensation Director committee consider concur director executive compensation scheme base study analysis benchmarke similarsize list company company industry attract retain highly qualified director executive company,Governance
employee Compensation committee consider concur principle employee compensation benchmarke practice lead company size market andor industry capitalization,Governance
leadership Development committee promote development executive capability company lead telecom business face rise competition disruptive technological evolvement rapid change consumer behavior,Social
committee encourage executive employee learn study source inside outside organization view enhance managerial capability prepare human capital handle new challenge regular basis,Social
executive Succession Plan committee determine executive succession plan strategy aspect comprehensively transparently order manage risk mitigation loss key position company consider succession plan propose Board Directors consideration Mr Chairman Nomination Compensation Committee Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company,Governance
overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Sustainable Development Committee Report Sustainable Development Committee comprise member Chairman member,Governance
Sustainable Development Committee meet time member present perform duty accord scope role responsibility prescribe charter,Governance
material action carry committee follow Material matter impact sustainable business operation consider approve material matter impact business operation sevendimension Companys sustainability strategy,Social
reprioritize align view stakeholder business plan key global change development,Social
sustainable Development Policy Strategies Goals consider ad approve goal strategy sustainability operation,Social
revise strategy theme create mutual growth human environment digital world encompas key area drive digital economy build digital access society sustain environment,Social
goal revise accommodate change sustainability aspect business strategy address evolve opportunity challenge expectation stakeholder,Social
consider approve action plan line sustainable business development strategy correspond new goal,Social
plan cover aspect tackle climate change plan achieve zero emission greenhouse gas create value group people society plan promote expand use digital platform health care education upgrade develop quality life community society decency safety use internet social medium develop generation digital citizen utilize online content appropriately,Environmental
consider approve revise environmental policy commitment protect biodiversity forest land provide framework AIS environmental performance cover value chain business,Environmental
disclosure Sustainability Information Compliance International Standards Attainment Sustainability Awards acknowledge AIS sustainability performance Sustainability Report disclose sustainability information measure assess clearly compliance Global Reporting Initiative GRI Sustainability Accounting Standards Board SASB standard public,Social
acknowledge information disclosure conformance Task Force Climaterelated Financial Disclosures TCFD provide guideline assessment climate change impact understanding opportunity risk allow formulation risk management guideline appropriate Companys context,Environmental
acknowledge attainment sustainability award reflect Companys commitment operational excellence include idcs Future Enterprise Awards Special Award Sustainability category International Data Corporation IDC SET Awards s Sustainability Excellence highly commend category Stock Exchange Thailand Money Banking Magazine,Social
Mr Chairman Sustainable Development Committee Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Executive Committee Report Executive Committee comprise highly experienced member Mr Chairman Ratanavadi Mr,Governance
Mr Mr member,None
Executive Committee hold total meeting perform duty accordance authority responsibility charter,Governance
summary Executive Committees performance year substantially follow review concur Companys strategic direction management structure annual business plan budget propose Board Directors approval,Governance
monitor financial operational performance Company report Board Directors acknowledgement,Governance
consider provide opinion concur dividend payment execution investment transaction propose Board Directors approval,Governance
prepare Executive Committee Report year disclose report,Governance
Mr Chairman Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Business Overview course year provide telecommunication infrastructure Thai society start collaborative contract concessionaire AIS,Governance
grant right utilize state frequency year builttransferoperate BTO agreement,Social
National Broadcasting Telecommunications Commission NBTC government agency regulate broadcasting telecommunication establish task grant spectrum license,None
licensing scheme major turning point telecommunications industry Thailand support fair competition development new technology,None
AIS remain committed vision mostadmired Digital Life Service Provider Thailand follow mission deliver superior product service enrich people daily life improve enterprise capability efficiency,Social
Enhance customer intimacy good customer experience,Social
drive intrapreneurship employee professionalism pro mote positive lively agile work culture,Social
Build winwin growth stakeholder,Social
Mobile Business Enterprise Business Fixed Broadband Digital Service Digital Life Service Provider Business Performance Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement AIS Transformation Digital Life Service Provider Cognitive TechCo deliver excellent digital experience,Governance
core business Mobile Communication Service Fixed Broadband Service Enterprise Business service Digital Service G G G G technology brand AIS provide monthly subscription service topup service international roam network partner destination worldwide,None
provide highspeed home internet utilize FTTx fiber optic brand AIS Fibre,None
offer cloud service data center cyber security Internet Things iot ICT solution corporate client collaboration multiple partner,Social
focus create valueadde digital service serve new revenue source medium long term anticipation change consumer behavior technology,Social
ais total asset value Baht million market capitalization Baht million rank th Stock Exchange Thailand,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement lead end AIS maintain position lead mobile operator Thailand revenue market share total million subscriber nationwide,None
mobile communication service revenue account total service revenue,None
AIS provide quality service G G G G network use frequency band ghz mhz total MHz x mhz FDD technology mhz TDD technology,None
mhz license grant NBTC x mhz TOT partnership agreement,None
ais mobile network currently cover countrys population,Social
high spectrum holding peer AIS remain industry leader network quality service,Social
furthermore AIS maintain position leader offer Gbased service Thailand,None
follow official launch Company continue expand g network cover province reach Thailands population year end spectrum industry,Social
AIS prime cope fastgrowe g market deliver variety gbased experience address customer demand general customer corporate client,Social
currently AIS G customer base million,None
grow Fixed Broadband Market Revenue Market Share Subscriber Market Share operator Subscriber Market Share fix broadband operator include true NT BB AIS start fix broadband business brand AIS Fibrein intent increase new revenue source build exist fiber network mobile business mobile customer base,None
currently AIS Fibre available city cover million household,Environmental
AIS Fibre penetrate market use strength provide FTTH technology connect household internet ready support exist adsl user wish upgrade high quality technology superior speed,None
fix broadband revenue account total service revenue,None
present total number subscriber million accounting fix broadband subscriber market share,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Enhancing Potential Corporate Client Business Building enterprise datum service offer mobile communication service internet link corporate client AIS expand service support digital,Governance
transformation small medium largesize business,None
endtoend service encompass cloud service data center cyber security Internet Things IoT ICT solution cciid,Social
AIS acquire CS Lox Info Public Company Limited strengthen capability provide integrate service enterprise client,None
revenue Corporate Client Business exclude mobile communication revenue account total service revenue,None
distinctive feature G technology include high speed low latency multidevice supportive feature couple network capability partnership collaboration enable AIS use advanced technology support service industrial sector efficiently,None
industry focus include smart industry solution manufacture focus case transportation logistic smart property retail,None
currently AIS offer variety genable service G Fixed Wireless Access G network slicing g private network,None
build Core Businesses Digital Services digital service business involve development diverse range service incorporate digital technology encompass network platform digital solution deliver digital service customer corporate client collaboration development connected business environment partner grow,None
AIS digital service focus area video platform mobile money platform digital marketing insurance,None
digital service business expect play key role create new revenue source AIS future apart revenue data connection mobile internet fee,None
enable AIS integrate service provider converge product service core business,None
operate license regulate NBTC majority AIS business particularly mobile communication fix broadband business operate regulation National Broadcast Telecom Commission NBTC regulatory authority form accordance Frequency Allocation Act,None
AIS subsidiary grant telecommunications business license include ghz mhz spectrum license average license life year,None
end spectrum license NBTC redistribute spectrum license auction,None
AIS mandate pay license fee Universal Service Obligation USO fee numbering fee NBTC service revenue year,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Key Development Past Years sign MOU NCS Telco support digital transformation Thailand,Governance
NCS support AIS digital transformation effort synergistic collaboration technology G iot Cloud Cyber Security complement AIS strength leader countrys digital infrastructure enhance Companys capability support organization Thailand materialize commitment digital transformation,Social
enter strategic collaboration agreement ZTE build advanced g network AZ Center elevate Company intelligent telecommunication organization,Social
objective raise quality deliver excellent service experience customer,Social
agreement aim develop innovation Thailand forefront digital economy cooperation area develop G innovation infrastructure solution upgrade G network intelligent digital network big datum processing AI expand g capability elevate industrial sector,Social
receive Microsoft Best Partner Year award present Microsoft worldclass partner successfully deliver classabove innovative service base Microsoft technology customer,Social
award select partner country worldwide,Social
purchase share startup Intouch enhance AIS business potential provide digital service customer,None
help expand consolidated AIS core business line Companys business direction digital life service provider,None
establish subsidiary AIS DC Venture CoLtd enter joint development agreement datum center business Gulf Energy Development Public Company GULF Singapore Telecommunications Limited Singtel pace growth accommodate need digital infrastructure Thailand,Social
join hand incorporate expertise partner develop unmanned system logistic application intelligent g network private network operate electric engine truck transport raw material factory SCG industrial estate Saraburi accord route planning,Social
align effort develop future industry use digital technology contribute environmental sustainability,Environmental
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement partner Microsoft Thailand Limited develop provide cloud service key area,Governance
drive digital solution promote use cloud service solution,None
upgrade AIS employee digital skill equip indepth digital technology skill,Social
develop innovation business use efficient solution appropriate type business,Social
launch AIS CloudX intelligent cloud ecosystem allow business develop cloud infrastructure application solution require highspeed processing mission critical task demand low latency,Social
Company team VMware Southeast Asias provider sovereign cloud service ensure maximum security standard reduce cost complexity system design,Social
service enable business sector achieve digital transformation pursuit potential enhancement business agility cope unpredictable change arise,Social
grant license MHz frequency band x mhz x MHz width NBTC January April respectively term year,None
mhz standard frequency range lowband G mark coverage enable AIS expand g network cover wide area,None
obtain license ghz frequency band MHz width February year team,None
millimeterwave band meet capacity requirement G network allow high speed data transfer rate gigabit second Gbps vital application require highspeed stable datum rate low latency millisecond,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement appoint official distributor streaming service gain wide acceptance Thailand Asia worldwide deliver classabove entertainment experience encompass diverse range content audience,Social
age Thailand,Social
won G auction spectrum include lowband MHz X mhz midband MHz MHz highband ghz mhz,None
G NSA license service nonstandalone launch February nationwide MHz frequency band,None
G SA standalone service dependent exist G network subsequently introduce July,None
set LearnDi Company Limited LDI subsidiary AIS capital investment Baht provide training seminar service online elearne platform,Social
establish Saha Advanced Network CoLtd SAN joint venture Saha Pathana InterHolding Public Company Limited stake value million baht,None
joint venture design provide fiber optic network ICT infrastructure enhance operational efficiency business SPI Industrial Park span rais land,None
g solution incorporate maximize operational efficiency,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Investment structure AIS group December Advanced Info Service Public Company Limited Mobile FBB Enterprise Business Digital Business ad Venture Public Co Ltd ADV Advanced Wireless Network CoLtd,None
AWN Clearing House Number Portability CoLtd,Social
CLH CS LoxInfo Public Co Ltd CSL Fax Lite CoLtd,None
FXL Advanced Broadband Network CoLtd,None
ABN Amata Network Co Ltd Information Highway CoLtd,None
IH Saha Advance Network Co Ltd SAN Advanced Contact Center CoLtd,None
ACC AIN GlobalComm CoLtd,None
AIN Super Broadband Network CoLtd,None
SBN MIMO Tech CoLtd,None
MMT Digital Phone CoLtd,None
DPC Clearing House Number Portability CoLtd,Social
CLH Bridge Mobile Pte,None
Ltd BMB Advanced Magic Card CoLtd,None
AMC Choco Card Enterprise Co Ltd Datafarm Co Ltd Swift Dynamics Co Ltd Advanced mpay CoLtd,None
AMP Advanced Digital Distribution CoLtd,None
ADD LearnDi Company Limited LDI GSA Data Centre Company Limited AIS DC Venture Company Limited AIS Digital Life CoLtd,None
ADL Rabbit Line Pay CoLtd RLP Advanced Data Network Communications CoLtd,None
ADC Subsidiaries Subsidiaries Joint Venture Associated Company investment Remark remain share percentage ADC hold person conflict interest,None
end ADC process liquidation iCandy Interactive Limited Teleinfo Media Public Co Ltd TMC Yellow Pages Commerce Co Ltd YPC Investment structure AIS Group Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Investment structure INTOUCH group,None
major shareholder December Advanced Info Service Plc ad Venture Plc Advanced Wireless Network CoLtd,None
Clearing House Number Portability Co Ltd CS LoxInfo Plc Fax Lite Co Ltd Advanced Broadband Network Co Ltd Amata Network Co Ltd Information Highway Co Ltd Saha Advance Network Co Ltd Advanced Contact Center Co Ltd AIS GlobalComm Co Ltd Super Broadband Network Co Ltd MIMO Tech Co Ltd Digital Phone Co Ltd Cleaing House Number Portability Co Ltd,None
Bridge Mobile Pte,None
Ltd Advanced Magic Card CoLtd,None
Choco Card Enterprise Co Ltd Datafarm Co Ltd Swift Dynamics Co Ltd Advanced MPAY Co Ltd Advanced Digital Distribution CoLtd,None
LearnDi Co Ltd GSA Data Centre Co Ltd AIS DC Venture Co Ltd AIS Digital Life Co Ltd rabbitline Pay Co Ltd Advanced Datanetwork Communications Co Ltd Remarks Listed Company Stock Exchange Thailand liquidation process currently operation INTUCH stake ITV cease operation ongoing dispute Permanent Secretary Office Prime Minister,Social
iCandy Interactive Limited Yellow Pages Commerce Co Ltd Teleinfo Media Plc Conicle Co Ltd Intouch Media Co Ltd Youch TV Co Ltd,None
Applications Services Co Ltd Peer Power Co Ltd Ookbee Co Ltd Intouch Holdings Plc Subsidiaries Subsidiaries Joint Venture Associated Company investment Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement,Governance
share hold shareholde,None
INTOUCH HOLDINGS PLC,None
singtel STRATEGIC investments PTE LTD,None
THAI NVDR COLTD,None
CITIBANK NOMINEES SINGAPORE PTE LTDAC GIC C,None
SOCIAL SECURITIES office,Social
state STREET EUROPE LIMITED,None
SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED,None
STATE STREET BANK TRUST COMPANY,None
BANK NEW YORK MELLON,None
VAYU MFC Asset Management Public Company Limited TOTAL,None
number share Percentage investment,None
GULF ENERGY DEVELOPMENT PLC,None
SINGTEL GLOBAL INVESTMENT PTE LTD,None
THAI NVDR COMPANY LIMITED,None
SOUTH EAST ASIA UK TYPE C NOMINEES LIMITED,None
SOCIAL SECURITY office,Social
MR PERMSAK KENGMANA,None
state STREET EUROPE LIMITED,None
KIATNAKIN PHATRA BANK PLC,None
BANK AYUDHYA PLC,None
RAMKHAMHAENG HOSPITAL PLC,Social
register capital pay capital Registered Capital Baht divide common share share par Baht share pay Capital Baht divide common share share par Baht share voting right share Shareholders information Thai NVDR Co Ltd find SET website httpswwwsetorthenmarketproductstockquoteadvanc majorshareholder Thai NVDR Co Ltd holding,None
NonVoting Depository Receipt NVDR ineligible vote shareholder meeting vote meeting specifically consider delist,Governance
Securities Shareholders Information b major shareholder behavior influence determine policy handling operation,Governance
Intouch Holdings Plc hold AIS,None
major shareholder Intouch Holdings Plc,None
follow shareholder August late book closing date right receive dividend follow Remarks Gulf Energy Development Plc,None
GULF hold company list Stock Exchange Thailand SET,None
gulf major shareholder find Form Report year SET website wwwsetorth,None
Singtel Global Investment Pte,None
Ltd indirect subsidiary Singapore Telecommunications Ltd Temasek Holding PteLtd,None
hold Source Singapore Telecommunication Ltds Annual Report,Social
information Thai NVDR Co Ltd find SET website wwwsetorth,None
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement shareholde c agreement major shareholder Company concern topic affect issuance security management Companys operation,Governance
singtel Strategic Investments Pte Ltd hold directly AIS,None
shareholder hold Singapore Telecommunication Limited Source Accounting Corporate Regulatory Authority ARCA Singapore December Relationship major shareholder major shareholder AIS Intouch Holdings Plc,Governance
,None
Ltd Intouch Holdings Plc,None
operate business invest telecommunication medium technology digital business act hold company,Social
singtel Strategic Investments Pte,None
Ltdis global telecommunications investor,None
major shareholder maintain respective role set policy direction AIS Board Directors,Governance
singtel longstanding experience telecommunication active market especially Asia help broaden AIS perspective stay abreast key industry movement globally,Social
business Singtel present opportunity mutual support AIS particularly digital service consumer corporate client collaboration develop solution enterprise ecosystem platform G IoT,Social
service require cooperation regional level allow mutual strengthening expansion customer basis business development,Social
Intouch Holdings Plc,None
hold company focus investment help support AIS sustainable growth,Social
include seek new investment opportunity AIS invest appropriate,None
addition GULF Energy Development Pcl major shareholder Intouch Holdings hold experience expertise energy infrastructure business enhance business collaboration opportunity AIS Gulf digital age advantage energy infrastructure,Environmental
business include Data Center Business collaborate expertise knowhow experience energy management ais telecommunication strength,Social
Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Historical Dividend Total Dividend Payment Baht share Dividend firsthalfyear operation Dividend secondhalfyear operation,None
earning share Dividend Payout Ratio Debenture December Company subsidiary total outstanding debenture Advanced Info Service Public Company Limited Advanced Wireless Network Limited Company,None
debenture trade Thai Bond Market Association term year,None
debenture fix annual interest rate range outstanding million baht,None
debenture receive credit rating AAtha Fitch Ratings indicate high quality investment high credit quality low credit risk,None
refer note financial statement,None
Bill Exchange outstanding bill exchange December Dividend Policy Company aim pay dividend consolidated net profit twice year,None
shall pay interim result operation half year approve Board Directors report general meeting shareholder remain thereof annual payment shall approve shareholder meeting result operation second half year,Governance
regard subsidiary dividend payment shall base operating result financial condition material factor,None
case dividend payment shall depend cash flow investment plan include future obligation Company andor subsidiary,None
dividend shall exceed retain earning Company financial statement adversely affect Company subsidiary ongoing operation,None
Historical Dividend consecutive year follow Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Million Bt Percent Million Bt Percent Million Bt Percent,Governance
service revenue Mobile communication business revenue fix broadband business revenue service revenue Interconnection IC equipment rental revenue,None
sim device sale revenue Total revenue Revenue Structure Service Type Nature Businesses Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Type product service ais core business divide,None
area follow,None
Mobile Business Fixed Broadband Business Enterprise Business Digital Service Business Prepaid postpaid mobile communication service network Mobile phone relate accessory sale international roaming international Fibre broadband internet fiber optic technology household SME customer Data network service corporate customer computing datum center corporate customer Cybersecurity service Internet thing,None
iot ICT solution AIS g business Services SMEs Video platform content Mobile financial service Digital insurance platform service Digital platform Annual Report form Report l Advanced Info Service Public Company Limited Chairman CEO Message Company Overview Business Risk Management Sustainability Performance Corporate Governance Management Structure Internal Control Financial Statement Mobile communication business AIS provide mobile,Governance
telecommunication service G G G G network telecommunications spectrum license grant NBTC,None
AIS currently hold total MHz spectrum bandwidth comprise ghz mhz,None
Thai population,Social
AIS continually extend G network cover population Bangkok,Social
AIS launch g service key area province Thailand include Eastern Economic Corridor EEC accordance mhz license condition stipulate NBTC,None
ais offer mobile voice datum service prepaid postpaid plan,None
present AIS total customer base million subscriber divide million postpaid subscriber prepay subscriber,None
addition AIS launch comprehensive online postpaid service GOMO brand penetrate young generation segment look service provide online channel,None
