Sentence Index,Sentence
1334,GovernanceManagement StructureInternal ControlFinancial StatementSource Use Fund FY Btmn Source fund Use fund operate cash flow    Dividend pay    Sale equipment    CAPEX    fix asset    Interest receive    Spectrum license    Dividend receive       Lease liability payment    Income tax Finance cost pay    Net borrowing payment    investment JV       Cash decrease    Total      Guidance exclude BB impact Core service revenue   
1335,Ar ound       EBITDA     Midsingle digit gr owth CAPEX exclude spectrum     Bt bn depend Foreign Exchange Rate    Core service revenue grow cautiously amid risk uncertainty          macroeconomic outlook remain fragile recession risk create uncertainty region
1336,time geopolitical risk    continue catalyze global supply chain disruption affect industrial supply manufacturing activity
1337,nonetheless Thailands recovery gain    firm ground tourismrelate sector benefit China reopen border fast expect beginning    low inflation    rate encourage high private consumption
1338,AIS set aspiration transform Digital Life Service Provider Cognitive techco    key foundation Autonomous Network Intelligence Data Analytics drive growth core business area
1339,    Mobile    revenue grow despite challenging competitive landscape     AIS continue focus profitable market share deliver superior    g experience network quality coverage
1340,place effort    create valuebase differentiation privilege ecosystem    power partnership collaboration engage customer personalized realtime offering  
1341,    fix broadband leap forward quality coverage    FMC Fixed MobileContent Convergence strategy deploy target midto highend customer segment bring differentiated quality service    home solution expand new underserved area
1342,   dedication key player doubledigit growth build    organic portfolio mn customer year
1343,    enterprise business thrive continue digitization trend       key strength partnership ecosystem couple lead    G smart solution help grow customer digital transformation
1344,AIS aim grow CCIID Cloud Cyber security IoT ICT Solutions Data Center product flagship GNextGen  
1345,platform CloudX serve datum sovereignty target    sector    manufacture retail property transportation    logistic
1346,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1347,GovernanceManagement StructureInternal ControlFinancial statementebitda midsingle digit growth    focus profitability
1348,foundation Cognitive techco adopt technology optimize    process costtoserve achieve sustainable growth profitability    amid challenging cost environment
1349,AIS continue journey    enhance autonomous network improve process    system    unlock high efficiency productivity operation ensure    distinctive customer experience
1350,capital allocation execute    caution ensure streamline improve CAPEX OPEX    efficiency deliver maximum value customer stakeholder
1351,result EBITDA expect grow midsingle digit rate
1352,continue invest growth opportunity    optimization discipline CAPEX plan Btbn depend foreign    exchange rate
1353,AIS aim sustain network leadership optimal    CAPEX expenditure deliver superior customer experience
1354,AIS    emphasize importance deliver bestinclass network quality    alongside grow demand traffic capacity coverage
1355,optimize    investment plan reduce lowvalue traffic shift traffic G network time ensure deploy network efficiently spectrum portfolio
1356,addition target AIS    Fibre expansion new untapped area resource    grow enterprise business digital service high growth potential
1357,dividend policy minimum    net profit    AIS commit drive longterm growth deliver return     shareholder
1358,place importance maintain strong financial    health flexibility pursue future growth
1359,dividend policy pay minimum    net profit
1360,preserve cash flow ensure financial flexibility lead compete pursue growth prospect change circumstance
1361,dividend payment shall twice year base    consolidated earning subject availability retain earning    separate financial statement
1362,case dividend payment shall    depend cash flow investment plan include future    obligation Company andor subsidiary
1363,dividend shall adversely affect Company subsidiary ongoing operation Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1364,GovernanceManagement StructureInternal ControlFinancial StatementFinancial Position    Performance financial statement Auditor report Auditors Reports state Consolidated Company financial    statement present fairly material respect consolidated    financial position    December        Consolidated    result operation cash flow year end Advanced    Info Service Public Company Limited subsidiary respectively    accordance Thai Financial Reporting Standards
1365,summary consolidated financial statement Advanced Info Service Public Company Limited subsidiary consolidated statement financial position December      
1366,      asset current asset cash cash equivalent         specificallydesignate bank deposit         restrict deposit financial institution         Trade current receivable         contract asset         Inventories         current tax asset         current financial asset         current asset         total current asset         Noncurrent asset investment joint venture associate         Longterm loan related party         noncurrent financial asset         Property plant equipment         Rightofuse asset         Goodwill         Spectrum license         intangible asset goodwill         deferred tax asset         noncurrent asset         total noncurrent asset         total asset        unit
1367,thousand Baht Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1368,GovernanceManagement StructureInternal ControlFinancial StatementAdvanced Info Service Public Company Limited subsidiary consolidated statement financial position continueda December     
1370,   LIABILITIES SHAREHOLDERS EQUITY current liability Shortterm borrowing         Trade current payable         Provision revenue share         unearned income    mobile communication service  
1371,      Advanced receive customer         current portion longterm liability         current portion spectrum license payable         current portion lease liability         corporate income tax payable         current financial liability         current liability         total current liability         Noncurrent liability Longterm liability         Lease liability         provision employee benefit         Spectrum license payable         unrealize adjustment value spectrum license         noncurrent financial liability         noncurrent liability         total noncurrent liability         total liability        unit Thousand Baht Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1372,GovernanceManagement StructureInternal ControlFinancial Statement
1374,   Shareholders equity issue pay share capital         Share premium ordinary share         deficit arise change ownership interest subsidiary         retain earning appropriate    Legal reserve         unappropriated         component shareholder equity         total shareholder equity attributable owner Company         Noncontrolling interest         total shareholder equity         total liability shareholder equity        Advanced Info Service Public Company Limited subsidiary consolidated statement financial position continueda December    unit Thousand Baht Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1375,GovernanceManagement StructureInternal ControlFinancial Statement
1377,   Revenues        Revenues render service equipment rental         Revenue sale good         total revenue         cost cost rendering service equipment rental         cost sale good         total cost         gross profit         distribution cost         administrative expense         total distribution cost administrative expense       
1378,profit operate activity         financial income         income         Share loss subsidiary joint venture associate account use equity method         net gainloss foreign exchange rate         Gainloss fair value measurement derivative asset         Management benefit expense         Finance cost         Profit income tax expense         tax expense         Profit year         profit attributable    Owners Company         Noncontrolling interest         Profit year         basic earning share baht      dilute earning share baht     unit Thousand BahtAdvanced Info Service Public Company Limited subsidiary consolidated statement profit lossfor year end December    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1379,GovernanceManagement StructureInternal ControlFinancial Statement     cash flow operate activity Profit year      adjustment Depreciation amortization      Finance income    
1380,finance cost      expect credit loss      sharebase payment transaction      Reversal loss obsolete decline value writeoff inventory      Loss sale writeoff asset      Loss unused equipment      Loss terminate contract asset      Net unrealized gain loss foreign exchange rate fair value measurement derivative asset      Gain sale investment      Share loss subsidiary joint venture associate account use equity method      Employee benefit expense      tax expense      cash provide operation change operating asset liability      change operating asset liability Specificallydesignated bank deposit      Trade current receivable      contract asset      inventory      current asset      noncurrent asset      Trade current payable      Provision revenue share      unearned income    mobile communication service    
1381,advanced receive customer      current liability      financial asset liability      noncurrent liability      Cash generate operate activity      Employee benefit pay    
1382,tax pay    
1383,net cash provide operate activity     unit Thousand BahtAdvanced Info Service Public Company Limited subsidiary consolidated statement cash flowsfor year end December    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1384,GovernanceManagement StructureInternal ControlFinancial Statement     cash flow invest activity Purchase property plant equipment intangible asset goodwill    
1385,proceed sale equipment      Payment spectrum license    
1386,net decrease current investment      net increase investment joint venture associate      Increase longterm loan relate party      Dividend receive      interest receive      net cash use invest activity      cash flow finance activity    Finance cost pay      Lease liability pay      net increase decrease shortterm borrowing      Proceed longterm borrowing      Repayments longterm borrowing    
1387,net cash pay purchase subsidiary noncontrolle interest      Dividend pay    
1388,net cash use financing activity      Effect exchange rate change balance hold foreign currency      net decrease cash cash equivalent      cash cash equivalent January       cash cash equivalent December      unit Thousand BahtAdvanced Info Service Public Company Limited subsidiary consolidated statement cash flow continuedFor year end December    Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1389,GovernanceManagement StructureInternal ControlFinancial Statement     Liquidity Ratio       current Ratio time      Quick Ratio time  
1390,   operate cash flow current liability time      AR turnover time      Collection period day      Inventory turnover time      Day sale period day      AP turnover time      Payment period day      Cash Cycle day      Profitability Ratio gross profit margin ratio       Operation income ratio       operate income ratio       free cash flow EBIT       net profit margin       Return Equity    Average      Return Equity    end      Efficiency RatioReturn total asset       Return fix asset  
1392,     total asset turnover time      Financial Policy RatioDebt equity ratio time      Interest coverage ratio time      Debt service coverage ratio time      dividend payout ratio       Data Share CapitalNet book value share baht      Net Profit share baht      Dividend share baht     unit
1393,thousand BahtHighlight financial ratio Advanced Info Service Public Company Limited subsidiary Highlight Financial ratioFor year end December     excl
1394,spectrum license Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1395,GovernanceManagement StructureInternal ControlFinancial StatementAdvanced Info Service Public Company Limited subsidiary Highlight Financial ratioFor year end December       Percentage Growth       Total Assets       Total Liabilities     
1396,revenue service    sale       selling    admin
1397,expense       Net Profit       Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1398,GovernanceManagement StructureInternal ControlFinancial StatementLiquidity Ratio Current Ratio time total current asset    total current liability Quick Ratio time Cash cash equivalent    current investment    AR Trade
1399,total current liability operate cash flow current liability time net cash provide operating activity    total current liabilite     AR turnover time total revenue    AR Trade    Average Collection period day     AR turnover inventory turnover time cost sale    Inventory    average Day sale period day     Inventory turnover AP turnover time
1400,total cost    AP Trade    Average Payment period day     AP turnover Cash Cycle day Collection period    day sale period    Payment period Profitability Ratio gross profit margin ratio    gross profit    Total revenue     Operation income ratio    Profit service sale    Total revenue     operate income ratio    Finance income    income     total revenue     free cash flow EBIT    net cash operating activity
1401,net cash invest activity
1402,profit service sale    net profit margin    Profit year    total revenue     Return Equity    end Profit year    total shareholder equity    Average Return Equity    end Profit year    total shareholder equity end Efficiency RatioReturn total asset    Profit year    total asset    Average Return fix asset     Profit year    property plant equipment
1403,right use asset    intangible asset goodwill    Average  
1404,total asset turnover time total revenue    total asset    Average Financial Policy RatioDebt equity ratio time total liability    total shareholder equity Interest coverage ratio time Profit service sale    Interest expense Debt service coverage ratio time EBITDA tax    interest expense    debt repayment    year
1405,dividend payout ratio
1406,Dividend pay share
1407,earn share datum Share Capital Net book value share baht total shareholder equity    share Net Profit share baht Profit year
1408,share Percentage Growth total asset    Total assetsCurrent Year    Total assetsprior year
1409,total assetsprior year total liability    total liabilitiescurrent year    total liabilitiesprior year
1410,total liabilitiesprior year Total revenue    total revenuescurrent year    total revenue Prior Year
1411,total revenuesprior year Selling    admin
1412,expense SGA    SGACurrent Year    SGAPrior Year
1413,SGAPrior Year Net Profit    Net ProfitCurrent Year    Net ProfitPrior Year
1414,Net ProfitPrior Year
1415,excl
1416,spectrum licensefinancial ratio formula Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1417,GovernanceManagement StructureInternal ControlFinancial StatementGeneral information Company General information significant information    American Depositary ReceiptThe Company Advanced Info Service Public Company Limited Symbol trade ADVANC Registered date SET    November     Stock exchange market SET Industry Technology    Sector Information Communication Technology    Market capitalization
1418,baht    million    December   
1419,register capital Baht     paidup capital Baht    comprising     ordinary share    December  
1420,Par Value    Baht    total shareholder    person    August    late book closing date right receive dividend  
1421,free float    Type business Operate telecommunication business include mobile network service fix broadband service digital service
1422,head office    Phaholyothin Road Samsen Nai Phayathai Bangkok
1423,register    corporate website httpswwwaiscoth IR website httpsinvestoraiscoth Telephone      Foreign Limit    ADR ticker symbol AVIFY Exchange
1424,Counter OTC    Depositary Bank New York Mellon ADR ORD share ratio    ADR CUSIP number G Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1425,GovernanceManagement StructureInternal ControlFinancial StatementNo Subsidiaries BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Advanced Wireless Network CoLtd
1426,AWN    Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax    
1427,service provider cellular telephone network distributor handset international     telephone service network operator telecommunication service operator internet       Advanced Data network Communications CoLtd
1428,ADC indirect subsidiary DPC    Phaholyothin Road Samsen Nai Phayathai Bangkok    Tel        F ax        W ebsite     w wwadccothund liquidation process         Digital Phone CoLtd
1429,DPC Phaholyothin RoadSamsen Nai Phayathai Bangkok Tel        F ax       cease mobile phone oper ation        Advanced mpay CoLtd
1430,AMP Phaholyothin RoadSamsen Nai Phayathai Bangkok Tel        F ax       S ervice provider electronic payment cash card     
1431,Super Broadband Network CoLtd
1432,SBN Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax        W ebsite    wwwsbncothnetwork operator telecom service operator include service provider    broadcasting network television broadcasting service channel     significant information general information AISs affiliate Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1433,GovernanceManagement StructureInternal ControlFinancial StatementGeneral information AISs affiliate continue
1434,Subsidiaries BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Advanced Contact Center CoLtd
1435,ACC    Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax    
1436,s ervice provider center        Advanced Digital Distribution CoLtd
1437,ADD Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax       S ervice provider insurance broker        Advanced Magic Card CoLtd
1438,AMC Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax       S ervice provider electronic payment network        Teleinfo Media Public Company Limited TMC indirect subsidiary CSL    Phaholyothin Road Samsen Nai Phayathai BangkokTel        F ax        W ebsite    wwwcsloxinfocomservice provider publishing advertising telephone directory        CS LoxInfo Public Company Limited CSL indirect subsidiary AWN    Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax         Website    wwwcsloxinfocomservice provider internet datum center service internet satellite uplinkdownlink     service domestic international communication distribute internet    equipment      Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1439,GovernanceManagement StructureInternal ControlFinancial StatementGeneral information AISs affiliate continue
1440,Subsidiaries BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    AIN GlobalComm CoLtd
1441,AIN     Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax    
1442,s ervice provider international telephone servicegateway        Advanced Broadband Network CoLtd  
1443,ABN Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax       hold compan y        AIS Digital Life CoLtd
1444,ADL    Phaholyothin RoadSamsen Nai Phayathai Bangkok Tel        F ax       S ervice provider digital platform        MIMO Tech CoLtd
1445,MMT Phaholyothin RoadPhayathai Phayathai Bangkok Tel        F ax    
1446,developer system service provider content aggregator outsourcing    service billing collection       ad Venture Public Company Limited ADV indirect subsidiary CSL Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax         Website    wwwshineecomservice provider mobile content       Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1447,GovernanceManagement StructureInternal ControlFinancial Statement Notes    
1448,remain share percentage ADC    hold person conflict interest
1449,     AIS Digital Life Co Ltd change wireless Device Supply Co Ltd
1450,general information AISs affiliate continue
1451,Subsidiaries BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Fax Lite CoLtd
1452,FXL    Phaholyothin RoadPhayathai Phayathai Bangkok Tel        F ax    
1453,service provider operation space land building service relate facility        Yellow Pages Commerce Company Limited YPC indirect subsidiary TMC    Vanit Bldg New Phetchaburi Road Makkasan Ratchathewi Bangkok Tel        F ax       S ervice provider online advertising business         LearnDi Company Limited LDI Phaholyothin RoadSamsen Nai Phayathai Bangkok Tel        F ax       S ervice provider training        AIS DC Venture Limited    Phaholyothin Road Samsen Nai Phayathai Bangkok Tel        F ax       hold compan y       Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1454,GovernanceManagement StructureInternal ControlFinancial Statement Joint Venture BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Amata Network Co Ltd  
1455,   Moo    Klongtamru Muang Chonburi Tel        F ax    
1456,s ervice provider infrastructure developer fibre optic network      Associated Company BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Information Highway CoLtd
1457,IH Moo     Bang KruaiSai Noi Road Bangsitong Bang Kruai    NonthaburiTel        F ax    
1458,s ervice provider transmission network        Choco Card Enterprise CoLtd Sukhumvit Road
1459,Bangjak Phra Khanong Bangkok Tel         Website     w wwchococrmcomdevelop customer relationship management system        Datafarm CoLtd
1460,CP Tower    Level     Radchadapisek Road Dindaeng Dindaeng Bangkok Tel        W ebsite     w wwdatafarmcothServices provider penetration testing audit        Swift Dynamics CoLtd Level    Prompan    Building th Floor Ladprao Road Jomphol Jatujark BangkokTel         Website     w wwswiftdynamicscothprovide software consulting service use iot technology        GSA Data Centre Company Limited M Thai tower season place Floor    Witthayu Lumpini Pathum wan BangkokTel        Data centre business      Associated Company Joint Venture Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1461,GovernanceManagement StructureInternal ControlFinancial Statement investment BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Bridge Mobile Pte Ltd BMB     Chai Chee Road Technopark
1462,Chai Chee Singapore Tel         Fax        provide international roaming service Asia Pacific Region    na USD    Million     Clearing House Number Portability CoLtd
1463,CLH    Sathorn Square Tower Unit th Floor North Sathorn Road Silom Bangrak BangkokTel          F ax        operate information system centralized database mobile number portability service MNP       iCandy Interactive Limited Level     William StreetMelbourne Victoria AustraliaTel        W ebsite     w wwicandyioMobile game Digital entertainment developer service    na AUD    million Joint Venture BusinessRegistered Capital Million SharePar Value Baht sharepaidup Capital Million Baht    Investment    Rabbit Line Pay CoLtd RLP    Gaysorn Tower Unit AB th
1464,Floor Ratchadamri Road Lumpini Pathumwan BangkokTel        Service provider electronic money electronic payment service business        Saha Advance Network Co Ltd SAN Phaholyothin RoadSamsen Nai Phayathai Bangkok Tel        F ax    
1465,s ervice provider telecom infrastructure network Sahapatgroup Industrial Park       investment note    
1466,equity CLH hold AIS    AWN      Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1467,GovernanceManagement StructureInternal ControlFinancial StatementOther significant information    ordinary Share Registrar      T hailand Securities Depository Company Limited         t Stock Exchange Thailand Building          Ratchadapisek Road          Dindang Dindang Bangkok          T el              F ax        Auditor         S akda Kaothanthong         certify P ublic Accountants Registration number
1469,K PMG Phoomchai Audit Co Ltd         th Floor Empire Tower          S outh Sathorn Road Yannawa Sathorn         Bangkok          T el             Fax        Bond Registrar       B ank Ayudhya Public Company Limited          Rama III R oad Bang Phongphang Yan Nawa          Bangkok          T el               F ax          Bondholder Representative      B ank Ayudhya Public Company Limited          Rama III R oad Bang Phongphang Yan Nawa          Bangkok          T el               F ax         frequently contact financial institution    
1470,b angkok Bank Public Company Limited            S ilom Road Silom Bangrak Bangkok           
1471,Tel               Fax                Krung Thai Bank Public Company Limited            Sukhum vit Rd Klong Toey Nua            Wattana Bangkok          
1472,Tel                Fax               Kasikorn Bank Public Company Limited          
1473,Phahon Yothin Road           Sam Sen Nai Phaya Thai Bangkok           Tel               Fax                Bank Ayudhya Public Company Limited            Rama III Road Bang Phongphang          Yan Nawa Bangkok            T el                 Fax         Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1474,GovernanceManagement StructureInternal ControlFinancial StatementLegal Disputes past AIS operate mobile telecommunication service use     mhz spectrum accordance Concession Agreement     Cellular Mobile Phone Operation Concession Agreement      TOT period    year    October       September   
1475,similarly DPC subsidiary AIS operate telecommunication    service use mhz spectrum subject Digital PCN Personal    Communication Network
1476,agreement PCN Agreement       CAT    November       September
1477,period    agreement AIS DPC obligation invest    provide equipment use provision service equipment    shall transfer TOT CAT AIS DPC agree share    specify percentage revenue generate service TOT CAT   
1478,   January    TOT CAT enter merger contract merge     company National Telecom Public Company Limited NT  
1479,follow establishment National Telecommunication Commission    Thailand NTC subject Act Organization assign Radio    Frequency regulate Broadcasting Telecommunications Services year    subsequently transition     National Broadcasting Telecommunication Commission NBTC     subject revision law year
1480,Act    Organization assign Radio Frequency mobile telecommunication    service telecommunication service AIS affiliate    regulate NTC NBTC respectively
1481,operation Concession Agreement    PCN Agreement     Act Organization assign Radio Frequency regulate    Broadcasting Telecommunications Services year      Telecommunication Business Act AIS affiliate    number significant legal dispute detail table
1482,Company consider potential negative impact dispute    Companys business performance
1483,information find     note    financial statement
1484,legal Disputes Concession Agreement     Porting subscriber    mhz system G    MHz AWN Litigant NT    TOT AIS Submitted date    Tribunal      September
1485,Thai Arbitration Institute      Ma y
1486,Central Administrative Court    Dispute Topic NT submit dispute Arbitration Tribunal decide suspension AIS porting subscriber AWN subscriber press    basis action breach concession agreement claim damage Baht    million    June    interest rate    annum
1487,   March    NT submit request amend damage calculate    expiration date    concession agreement    September    Baht    million
1488,result case    February    arbitration tribunal decide dismiss nts dispute reason AIS breach    concession agreement claim
1489,Status Case       NT submit plea revocation decision arbitration tribunal
1490,case consideration Central Administrative Court
1491,ais management believe AIS comply relate term case significantly affect financial statement
1492,   Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1493,GovernanceManagement StructureInternal ControlFinancial Statement    additional remuneration rental fee fiber cable rental fee lease line Litigant NT TOT AIS    Submitted date    Tribunal     January    t Thai Arbitration Institute Dispute Topic NT submit dispute Arbitration Tribunal decision request additional payment AIS rental fee fiber cable lease line AIS receive service provider    subject th Amendment Concession Agreement th quarter    rd quarter    total Baht    million vat interest rate    month
1494,result case December     AIS receive award Arbition Tribunal dismiss nts claim ground dispute dispute compliance NBTC announcement    dispute regard Concession Agreement
1495,Arbitral Tribunal jurisdiction    ground determine AIS breach contract
1496,Status Case
1497,dispute settle management consider result verdict significantly affect ais financial statement request additional remuneration regard th th amendment Concession Agreement Concession Agreement Litigant NT TOT AIS    Submitted date Tribunal     S eptember
1498,Thai Arbitration Institute      April
1499,t Central Administrative Court       August
1500,Supreme Central Administrative Court Dispute Topic     AIS submit dispute Arbitration Tribunal regard th th amendment Concession Agreement
1501,AIS claim amendment bind AIS NT AIS obligation    pay additional remuneration operation thth year Baht    million NTs claim amendment conduct illegally cause NT receive low remuneration rate specify Concession Agreement
1502,       January    Arbitr al Tribunal majority decision order AIS additional payment operational year th year th Baht    million plus interest rate       month NT commence    November  
1503,       April    AIS di sagreed award proceed submit case Central Administrative Court revocation Arbitral Tribunals award         April    NT pr oceeded submit case Central Administrative Court revocation Arbitral Tribunals award issue Arbitral Tribunal decide AIS    pay benefit accord contract absent th year th year    million baht
1504,result case    July    Central Administrative Court decide revoke decision Arbitration Tribunal request AIS reason additional th th amendment Concession    agreement bind effect party result company obligate pay benefit request NT  
1505,Status Case    August    NT submit appeal Supreme Administrative Court
1506,case consideration Supreme Central Administrative Court
1507,dispute settle management consider result verdict significantly affect ais financial statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1508,GovernanceManagement StructureInternal ControlFinancial Statement    Remuneration joint use network Litigant NT TOT AIS     submit date    Tribunal     S eptember
1509,Thai Arbitration Institute      Ma y
1510,Central Administrative Court Dispute Topic NT submit dispute Arbitration Tribunal request additional payment AIS allow AWN jointly use network discount joint network usage fee prior consent NT July    September    total Baht    million include vat interest  
1511,result case    February    AIS receive award Arbition Tribunal majority vote dismiss NT dispute
1512,Status Case       NT file petition Central Administrative Court request revocation arbitral award
1513,dispute pende consideration Central Administrative Court
1514,management believe AIS comply relate term result case significantly affect financial statement Usage fee nts space asset Subscriber Protection Period Litigant NT TOT AIS    Submitted date    Tribunal     F ebruary
1515,Thai Arbitration Center      June    t Central Administrative Court Dispute Topic NT submit dispute Arbitration Tribunal request payment AIS usage nts space asset    September    June    Subscriber Protection Period      mhz system Baht    million include vat interest rate    month  
1516,result case    Feb    Arbitration Tribunal issue order allow NT withdraw dispute request order NT bring case Administrative Court
1517,Status Case    Feb    Arbitration Tribunal issue order allow NT withdraw dispute request order NT bring case Administrative Court
1518,   June    NT file lawsuit Central Administrative Court AIS pay nts space property usage period    September    June    user protection measure    mobile phone service    mhz system    million baht include vat interest rate    month total baht    million
1519,dispute pende consideration Central Administrative Court
1520,management believe AIS comply relate term Notifications NBTC result case significantly affect financial statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1521,GovernanceManagement StructureInternal ControlFinancial StatementLegal Disputes PCN Agreement     Usage fee revenue use telecommunication equipment telecommunication network CAT temporary customer protection period Litigant NT CAT DPC     submit date    Tribunal     Ma y
1522,Central Administrative Court      o ctober
1523,Supreme Central Administrative Court Dispute Topic     NT    submit lawsuit Central Administrative Court demand NBTC Office NTC NBTC True DPC pay usage fee revenue usage telecommunication equipment    telecommunication network NT
1524,usage question occur temporary customer protection period subject NBTC Temporary Customer Protection Plan follow     Expiration Concession Agreement Telecommunication Service Agreement calculate    September       September
1525,total collectively demand NBTC Office    NTC NBTC true DPC Baht    million include interest rate    annum
1526,Case         September    NT submit request Central Administrative Court claim additional usage fee revenue usage nts telecommunication equipment    telecommunication network calculate    September       July
1527,total demand collectively DPC NBTC Office NTC NBTC Baht    million include interest     rate    annum
1528,Second Case        Ma y    NT submit request demand defendant include DPC NBTC Office NTC NBTC pay additional usage fee    revenue usage nts telecommunication equipment    network    July       November       million Baht include interest rate    annum
1529,Case         September    NT submit request revision reduce remuneration    period Baht    million Baht    million baht    million Baht     million Baht    million Baht    million respectively
1530,result case April     Central Administrative Court dismiss case DPC September      July     second case provision service service user protection period    consider operation behalf NBTC accord announcement measure protect service user operation Concession Agreement
1531,DPC deduct cost provide service user protection period money leave DPC    liable pay network fee NT
1532,   December    Central Administrative Court dismiss case DPC    July       November    case reason
1533,Status Case       NT file appeal Supreme Administrative Court period    September      July    second case  
1534,case pende consideration Supreme Central Administrative Court
1535,management believe DPC subject pay fee revenue usage telecommunication equipment telecommunication network NT claim DPC act accordance Notifications    NBTC
1536,result dispute positive significantly affect financial statement Annual Report    form    Report    l    Advanced Info Service Public Company LimitedChairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
1537,GovernanceManagement StructureInternal ControlFinancial StatementLegal Disputes Act Organization assign Radio Frequency Telecommunication Business Act    Revocation resolution order NBTC collect information exist subscriber use PrePaid Mobile Service Litigant AIS NBTC Secretary General NBTC    submit date    Tribunal     S eptember
1538,Central Administrative Court      D ecember
1539,Supreme Central Administrative Court    Dispute Topic NTC currently nbtc Secretary NTC currently Secretary NBTC order AIS retroactively collect prepay subscriber information effective date Notification NBTC Criteria    Allocation Numbers    come force    October
1540,AIS file lawsuit Central Administrative Court request revocation resolution order NBTC collect     information exist subscriber use PrePaid Mobile Service prior announcement date Notification NBTC Criteria Allocation Numbers    come force     October       day effective date NBTC Notification  
1541,lawsuit AIS particularly request revocation order require AIS pay administrative fine    Baht     day commence    July    Company completely perform request obligation
1542,result case    November    Central Administrative Court reach judgment revoke resolution overturn administrative fine ground order enforce operator    retrospectively store subscriber datum include personal information subscriber require disclose measure enforcement service suspension termination  
1543,large number subscriber difficult perform request action cooperation subscriber
1544,regard NBTCs resolution order unlawful NBTC use power discretion scope regulatory duty create huge burden operator
1545,Status Case    December    NBTC submit appeal Supreme Administrative Court currently pende consideration Supreme Administrative Court
